users in this chat 
Armin👑_ریپورتم_15استیکر_بده_تا_پی_وی_جواب_بدم [94260643] = 1
¥¥the_fucker_terrorism¥¥_______________________________________________________________شاه_تروريسمم_________.__________________________ارباب_تروريسممم________________________________________كابوس_اتحادا________َِیَِسَِمَِوَِ_ِشَِاَِهَِ_تَِرَِوَِرَِیَِسَِم_¥¥the_fucker_terrorism¥¥_______________________________________________________________شاه_تروريسمم_________.__________________________ارباب_تروريسممم________________________________________كابوس_اتحادا________َِیَِسَِمَِوَِ_ِشَِاَِهَِ_تَِرَِوَِرَِیَِسَِم [171182989] = 1
đàřk_böý [126242593] = 1
🔱_Lion_Bot_🔱 [113524954] = 1
↔️_Logging_Bot [167781099] = 1
🗼Shahabsaf🗼 [171608708] = 1
Jack [119256329] = 1
💀ҭįĞΞЯ💀_ریپورتم_ده_تا_استیکر_بده [164195852] = 1
(👺دورو_بر_من_نچرخ_که_چرختو_پنچر_میکنم_👺)💀Spaeder_عنکبوت👽 [178703881] = 1
㏐_ℓﾑrη๏g [37194141] = 1
